2019.06.16 18:20:05.627 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.16 18:20:05.627 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.16 18:20:05.632 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.16 18:20:05.632 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.16 18:20:05.632 INFO  Server.Server - Server is waiting for clients...
2019.06.16 18:20:05.632 INFO  Server.Server - Server is waiting for clients...
2019.06.16 18:20:06.638 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:06.639 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:07.643 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:07.645 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:08.649 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:08.649 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:09.652 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:09.652 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:10.296 INFO  Server.Server - Handling client with socket: Socket[addr=/132.73.194.133,port=56446,localport=5400]
2019.06.16 18:20:10.654 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:11.299 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:11.659 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:12.303 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:12.663 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:13.308 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:13.664 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:14.310 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:14.668 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:15.313 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:15.673 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:16.317 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:16.677 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:17.322 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:17.483 INFO  Server.Server - Handling client with socket: Socket[addr=/132.73.194.133,port=56450,localport=5401]
2019.06.16 18:20:18.326 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:18.485 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:19.327 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:19.487 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:20.332 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:20.488 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:21.338 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:21.490 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:22.340 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:22.491 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:23.341 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:23.493 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:24.363 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:24.497 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:25.368 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:25.501 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:26.369 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:26.502 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:27.370 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:27.504 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:28.372 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:28.380 INFO  Server.Server - Handling client with socket: Socket[addr=/132.73.194.133,port=56453,localport=5400]
2019.06.16 18:20:28.508 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:29.383 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:29.513 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:30.386 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:30.514 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:31.387 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:31.515 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:32.389 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:32.517 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:33.395 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:33.518 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:34.397 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:34.519 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:35.402 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:35.524 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:36.431 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:36.528 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:37.433 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:37.532 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:38.442 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:38.534 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:39.444 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:39.536 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:40.449 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:40.539 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:41.451 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:41.541 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:42.452 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:42.542 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:43.457 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:43.546 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:44.458 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:44.548 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:45.462 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:20:45.549 DEBUG Server.Server - Socket Timeout - No clients pending!
